,season,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,f_PTS
Udoka Azubuike,2016-2019,21.75,508.25,117.25,157.25,0.0,0.0,32.75,78.75,56.75,171.25,15.0,10.25,43.0,43.0,60.0,267.25,0.71,0.0,0.39,21.15,11.27,7.18,0.6,80
Desmond Bane,2016-2019,35.25,1069.75,164.75,332.75,62.25,143.75,54.25,67.5,34.25,165.25,83.25,33.0,13.5,55.0,76.5,446.0,0.5,0.43,0.8,30.68,12.85,4.75,2.45,"1,313"
Harrison Barnes,2010-2011,37.5,1099.0,219.0,509.0,58.0,166.0,117.0,159.5,74.5,207.0,48.0,34.0,14.5,73.0,70.0,613.0,0.43,0.35,0.74,29.3,16.35,5.5,1.25,"1,192"
Will Barton,2010-2011,35.0,1153.0,198.5,421.0,38.0,127.0,96.0,131.0,59.5,226.0,100.5,52.0,21.0,82.0,77.0,531.0,0.47,0.31,0.72,32.95,15.15,6.45,2.85,967
Keita Bates-Diop,2014-2017,27.25,675.5,117.25,248.25,30.75,87.25,52.75,68.0,31.0,155.25,30.25,17.0,32.0,33.5,38.75,318.0,0.48,0.34,0.74,24.45,11.28,5.6,1.12,281
Kent Bazemore,2008-2011,35.0,777.5,129.0,288.75,25.0,74.75,71.0,122.25,39.5,160.5,94.75,62.5,16.75,80.0,63.25,354.0,0.45,0.32,0.55,22.22,10.15,4.62,2.72,132
Jordan Bell,2014-2016,35.0,863.67,115.0,188.67,1.0,5.33,40.33,64.0,74.67,239.67,51.67,37.0,78.0,54.0,80.33,271.33,0.6,0.07,0.58,24.33,7.6,6.73,1.43,0
DeAndre' Bembry,2013-2015,33.67,1215.0,193.33,423.33,40.0,128.33,103.33,164.67,45.67,224.0,121.33,47.67,26.0,82.67,83.0,530.0,0.46,0.31,0.63,36.17,15.73,6.67,3.6,284
Patrick Beverley,2006-2007,35.0,0.0,143.0,340.5,69.0,180.5,98.5,135.0,0.0,193.5,97.0,52.5,15.0,34.5,0.0,453.5,0.42,0.38,0.73,0.0,13.0,5.55,2.75,501
Saddiq Bey,2018-2019,33.5,1057.5,142.0,302.5,64.0,153.0,49.5,68.0,57.0,165.0,60.0,27.5,12.0,37.0,77.5,397.5,0.47,0.41,0.71,31.75,12.15,4.9,1.85,"1,220"
Khem Birch,2011-2013,23.0,585.0,69.33,130.67,0.0,0.0,65.0,97.33,70.67,178.67,18.33,13.67,70.33,27.33,49.67,203.67,0.55,0.0,0.63,22.73,7.7,6.97,0.6,228
Keljin Blevins,2014-2018,29.25,677.5,79.75,200.0,11.25,48.0,51.75,80.25,37.5,128.25,30.5,15.5,7.75,52.5,56.25,222.5,0.37,0.22,0.62,22.78,7.28,4.22,1.0,66
Chris Boucher,2015-2016,34.5,856.0,150.0,282.0,37.5,109.0,75.0,117.0,78.5,234.0,14.0,21.0,94.5,37.5,92.5,412.5,0.53,0.34,0.62,24.7,11.95,6.75,0.4,683
Mikal Bridges,2015-2017,38.67,1057.0,152.67,291.0,57.0,142.67,74.67,88.33,43.67,168.0,61.0,54.33,33.67,41.33,85.67,437.0,0.53,0.38,0.85,27.4,11.3,4.37,1.6,"1,067"
Miles Bridges,2016-2017,31.0,981.0,193.0,410.5,63.5,169.5,78.0,100.5,42.0,234.5,75.0,20.0,34.5,66.5,52.5,527.5,0.47,0.38,0.77,31.7,17.0,7.65,2.4,"1,491"
Oshae Brissett,2017-2018,35.5,1266.0,154.5,416.0,42.5,138.5,136.5,185.5,78.5,291.0,47.5,38.0,28.0,69.0,77.0,488.0,0.37,0.3,0.72,35.55,13.65,8.15,1.35,524
Malcolm Brogdon,2011-2015,34.0,1039.25,150.25,349.75,46.25,126.75,105.5,120.5,20.5,140.75,83.75,29.25,7.75,51.75,62.5,452.25,0.42,0.36,0.86,30.1,12.9,4.05,2.4,687
Armoni Brooks,2016-2018,33.33,726.67,109.0,262.67,76.33,192.33,19.67,27.67,26.67,141.67,18.67,21.67,8.33,20.33,44.33,314.0,0.42,0.39,0.75,21.0,9.03,4.1,0.57,283
Dillon Brooks,2014-2016,36.33,1051.0,195.67,414.33,44.33,122.33,101.67,128.0,58.0,165.0,93.0,32.0,17.0,78.0,106.67,537.33,0.47,0.36,0.8,28.8,14.77,4.5,2.53,504
Charlie Brown Jr.,2016-2018,31.5,1099.5,167.0,410.5,67.0,181.0,102.0,122.0,49.5,176.0,40.5,29.0,23.0,47.5,75.0,503.0,0.4,0.37,0.83,34.9,15.9,5.6,1.3,30
Sterling Brown,2013-2016,34.0,873.0,98.5,195.5,32.0,71.0,48.5,63.0,47.5,163.25,73.5,34.75,12.75,52.5,76.0,277.5,0.51,0.45,0.75,25.8,8.28,4.82,2.2,153
Jalen Brunson,2015-2017,38.67,1116.33,193.0,378.33,59.0,150.0,110.67,135.0,15.67,95.0,144.0,32.33,0.33,72.33,69.67,555.67,0.5,0.39,0.82,28.97,14.4,2.5,3.73,"1,168"
Thomas Bryant,2015-2016,34.5,872.5,152.5,257.5,14.0,37.5,102.0,142.0,73.0,214.0,42.0,21.5,42.0,68.0,101.5,421.0,0.6,0.36,0.72,25.35,12.25,6.2,1.25,192
Reggie Bullock,2010-2012,33.33,819.0,119.33,271.67,62.67,162.0,28.33,39.33,52.0,165.0,56.33,29.0,7.0,31.33,40.33,329.67,0.43,0.37,0.69,23.77,9.6,4.8,1.63,515
Trey Burke,2011-2012,36.5,1302.5,218.0,484.5,66.5,181.0,113.0,145.5,21.5,121.0,208.0,46.5,16.5,90.0,63.0,615.5,0.45,0.37,0.77,35.7,16.7,3.35,5.65,207
Alec Burks,2009-2010,34.0,1050.0,211.5,427.5,23.5,75.0,199.0,247.5,74.5,198.5,82.5,38.0,12.0,78.5,81.5,645.5,0.5,0.32,0.8,30.8,18.8,5.75,2.35,862
Jimmy Butler,2008-2010,35.33,815.67,130.0,256.0,12.0,31.33,153.67,198.67,57.33,193.0,60.0,38.33,16.67,36.67,39.0,425.67,0.51,0.28,0.77,22.97,12.0,5.47,1.67,"1,126"
Devontae Cacok,2015-2018,32.25,766.0,162.75,254.5,0.25,0.25,72.5,122.5,112.5,315.5,16.5,28.0,22.75,49.5,104.5,398.25,0.66,0.25,0.55,23.3,12.12,9.62,0.5,40
Kentavious Caldwell-Pope,2011-2012,32.0,1057.0,169.0,407.0,74.5,219.5,94.0,125.0,41.0,196.0,48.0,61.5,14.0,50.0,69.5,506.5,0.41,0.34,0.73,33.0,15.85,6.15,1.5,899
Jevon Carter,2014-2017,36.0,1074.75,146.75,360.25,60.25,169.5,85.75,107.5,32.75,134.5,139.75,82.5,8.5,66.0,89.5,439.5,0.4,0.35,0.79,29.75,12.1,3.7,3.85,253
Michael Carter-Williams,2011-2012,33.0,839.0,90.0,226.0,21.0,68.5,71.0,104.5,30.0,118.5,172.5,64.5,13.5,77.0,58.5,272.0,0.41,0.34,0.63,22.75,7.3,3.25,4.7,0
Alex Caruso,2012-2015,34.25,983.25,95.5,210.0,22.75,67.0,58.75,85.75,26.0,128.25,162.25,69.0,14.75,86.5,85.75,272.5,0.45,0.33,0.69,28.7,7.93,3.72,4.72,295
Willie Cauley-Stein,2012-2014,35.0,858.33,115.33,194.33,0.0,0.0,50.33,99.0,83.33,218.33,30.0,38.33,77.67,42.33,82.0,281.0,0.6,0.0,0.49,24.43,8.0,6.23,0.87,34
Chris Chiozza,2014-2017,34.75,873.5,86.0,219.75,32.5,99.5,51.75,69.25,14.0,110.5,142.75,47.75,1.75,55.75,72.0,256.25,0.39,0.33,0.72,25.18,7.35,3.18,4.1,67
Brandon Clarke,2015-2018,32.67,908.33,195.0,305.33,2.0,8.0,81.0,131.0,89.33,250.67,61.67,33.33,77.33,48.0,70.33,473.0,0.64,0.26,0.61,27.83,14.33,7.63,1.9,610
Jordan Clarkson,2010-2013,31.0,984.0,157.67,358.33,31.67,98.33,130.67,162.33,24.67,103.33,83.0,29.0,8.67,84.67,70.33,477.67,0.44,0.32,0.8,31.3,15.17,3.27,2.6,"1,158"
Nic Claxton,2017-2018,32.5,748.0,90.5,198.0,13.0,43.0,78.5,128.5,63.5,201.5,32.0,19.5,61.5,45.0,73.5,272.5,0.45,0.32,0.58,23.15,8.45,6.25,1.0,349
Amir Coffey,2016-2018,29.0,977.67,138.67,309.67,31.33,95.67,109.67,149.33,21.67,110.33,92.33,27.0,6.0,60.67,49.0,418.33,0.45,0.34,0.73,33.33,14.27,3.83,3.2,550
John Collins,2015-2016,32.0,662.0,157.5,262.0,0.0,0.5,114.5,157.0,88.0,223.0,12.0,15.0,37.5,45.5,90.0,429.5,0.58,0.0,0.72,20.5,13.25,6.85,0.35,876
Pat Connaughton,2011-2014,34.75,1121.0,128.75,286.25,67.0,173.75,41.75,53.75,34.25,205.75,64.25,23.25,17.75,33.75,58.0,366.25,0.45,0.38,0.77,32.25,10.55,5.9,1.88,597
Tyler Cook,2016-2018,31.0,867.0,164.67,303.67,1.0,7.0,108.0,169.0,65.33,206.33,54.67,21.0,16.33,79.67,77.0,438.33,0.54,0.13,0.63,27.77,14.03,6.57,1.73,64
Robert Covington,2009-2012,29.5,884.0,155.75,327.25,45.5,107.75,80.0,99.75,76.5,219.0,36.25,45.25,37.5,68.75,88.5,437.0,0.47,0.42,0.8,30.08,14.9,7.48,1.25,510
Torrey Craig,2010-2013,32.75,1015.25,186.75,452.0,74.25,224.75,84.25,125.5,69.25,236.0,59.0,34.5,25.25,86.75,81.5,532.0,0.41,0.33,0.67,30.98,16.18,7.2,1.8,463
Jae Crowder,2010-2011,36.0,1087.0,187.5,381.0,51.5,147.0,98.0,143.5,76.5,272.5,65.5,68.0,33.5,37.0,89.0,524.5,0.49,0.35,0.68,30.25,14.65,7.6,1.85,601
Jarrett Culver,2017-2018,37.5,1106.0,199.5,435.0,52.0,152.5,108.5,158.0,46.5,210.0,104.5,49.0,24.0,80.0,75.0,559.5,0.46,0.34,0.68,29.45,14.85,5.6,2.75,116
