,season,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,f_PTS
Blake Griffin,2007-2008,34.0,0.0,242.0,391.5,1.5,5.0,153.5,260.5,0.0,402.5,70.5,36.0,34.5,96.0,0.0,639.0,0.61,0.19,0.59,0.0,18.7,11.75,2.05,359
Kyle Guy,2016-2018,35.33,1027.0,155.33,358.33,84.67,199.0,45.67,56.67,15.0,105.67,57.67,24.67,1.33,38.67,39.0,441.0,0.43,0.44,0.79,28.8,12.33,2.93,1.63,74
Rui Hachimura,2016-2018,34.0,670.67,154.0,266.0,8.0,25.33,94.0,126.0,37.0,150.67,27.0,20.0,16.67,40.0,54.33,410.0,0.56,0.3,0.69,18.5,11.3,4.2,0.73,344
Tyrese Haliburton,2018-2019,28.5,985.0,104.5,205.5,50.5,118.5,27.5,35.5,29.0,124.5,133.5,54.0,22.5,44.5,37.5,287.0,0.51,0.43,0.76,34.95,11.0,4.65,5.05,"1,060"
Tim Hardaway Jr.,2010-2012,35.67,1186.67,175.67,413.0,67.33,196.33,92.0,127.0,20.67,146.67,75.0,25.33,11.0,60.67,70.67,510.67,0.42,0.34,0.72,33.23,14.33,4.1,2.07,598
James Harden,2007-2008,34.5,0.0,208.5,412.0,51.0,135.5,186.5,247.0,0.0,187.0,129.0,66.0,15.0,103.5,0.0,654.5,0.51,0.38,0.76,0.0,18.95,5.45,3.7,"1,303"
Jared Harper,2016-2018,35.33,1043.0,132.67,345.67,71.0,198.0,139.33,176.0,12.0,81.0,170.33,40.67,1.67,71.67,63.33,475.67,0.38,0.36,0.78,29.23,13.3,2.27,4.73,7
Montrezl Harrell,2012-2014,37.33,987.0,177.67,303.33,3.67,13.33,72.33,135.67,98.0,259.0,34.0,30.33,39.33,48.33,71.33,431.33,0.58,0.3,0.52,26.87,11.8,7.07,0.93,882
Gary Harris,2012-2013,34.5,1070.5,172.5,392.0,73.0,194.0,94.5,120.0,33.5,113.0,70.0,54.0,10.5,55.5,70.5,512.5,0.44,0.38,0.78,31.0,14.8,3.25,2.05,679
Joe Harris,2010-2013,33.75,1021.0,142.0,319.0,65.75,161.5,74.75,103.5,29.0,127.25,63.5,29.0,12.0,53.25,76.75,424.5,0.44,0.41,0.73,30.25,12.5,3.8,1.88,158
Shaquille Harrison,2014-2015,33.0,1051.0,168.5,365.0,10.5,48.0,117.5,186.0,36.5,175.0,128.5,63.5,13.5,74.0,76.0,465.0,0.46,0.22,0.63,31.85,14.1,5.3,3.9,4
Josh Hart,2013-2016,36.5,1023.25,169.25,331.5,51.75,133.0,90.0,125.0,63.0,203.0,66.5,40.25,10.75,48.5,81.75,480.25,0.51,0.38,0.71,27.85,13.02,5.52,1.8,807
Udonis Haslem,1998-2001,32.5,809.0,158.25,271.0,0.0,0.75,128.75,193.25,0.0,207.75,34.75,26.75,30.0,0.0,0.0,445.25,0.59,0.0,0.66,25.02,13.78,6.48,1.08,30
Gordon Hayward,2008-2009,34.5,619.5,149.0,317.0,58.0,157.0,140.0,170.0,36.0,256.0,62.5,44.0,30.0,69.0,39.0,496.0,0.47,0.37,0.82,16.75,14.3,7.35,1.85,773
Buddy Hield,2012-2015,33.0,1045.5,195.75,437.0,87.25,223.5,94.0,112.5,52.25,165.25,63.5,42.0,9.5,71.25,64.75,572.75,0.44,0.36,0.82,31.25,16.68,4.93,1.92,"1,162"
George Hill,2004-2007,23.75,791.0,134.0,253.25,22.5,55.75,114.25,145.5,0.0,136.75,79.25,38.75,7.25,23.5,0.0,404.75,0.52,0.37,0.74,32.17,16.42,5.68,3.03,312
Solomon Hill,2009-2012,34.75,1007.5,121.75,253.0,28.75,76.75,85.25,114.5,62.5,193.25,76.0,31.75,12.25,72.5,84.75,357.5,0.48,0.34,0.74,28.98,10.25,5.52,2.17,8
Nate Hinton,2018-2019,34.0,825.0,98.5,239.5,37.0,101.0,64.0,80.0,62.0,216.0,53.0,40.5,4.0,36.0,62.5,298.0,0.41,0.36,0.81,24.75,8.9,6.55,1.6,0
Aaron Holiday,2015-2017,33.67,1069.67,158.67,352.67,60.0,142.33,103.67,130.33,16.0,106.67,159.0,42.0,7.33,101.33,90.33,481.0,0.45,0.42,0.78,31.93,14.3,3.2,4.73,374
Justin Holiday,2007-2010,30.75,436.0,63.0,142.25,14.5,42.25,23.0,31.25,30.5,112.0,47.0,23.5,15.5,32.0,32.5,163.5,0.41,0.24,0.66,12.62,4.8,3.38,1.38,709
Richaun Holmes,2012-2014,31.67,839.33,134.33,242.67,10.0,28.33,84.33,121.0,83.33,217.33,20.67,25.0,81.33,47.67,77.67,363.0,0.57,0.24,0.68,26.53,11.5,6.9,0.63,468
Rodney Hood,2011-2013,33.5,1100.0,159.0,349.5,59.0,149.0,68.0,88.0,30.0,145.5,69.5,19.0,11.5,42.0,66.0,445.0,0.45,0.39,0.73,32.85,13.2,4.35,2.05,150
Al Horford,2004-2006,36.33,932.67,141.33,241.33,0.0,1.33,91.67,148.0,0.0,288.0,62.33,31.33,63.0,0.0,0.0,374.33,0.57,0.0,0.61,25.5,10.03,7.87,1.7,638
Danuel House Jr.,2012-2015,29.75,896.75,136.75,328.75,50.5,149.5,96.75,138.5,37.5,140.0,59.5,21.25,13.25,57.0,55.75,420.75,0.42,0.34,0.69,30.12,14.1,4.7,1.98,200
Markus Howard,2016-2019,32.0,963.25,216.0,486.25,108.5,254.25,149.75,169.75,13.0,103.25,98.0,30.5,1.5,95.0,76.5,690.25,0.45,0.44,0.89,30.05,21.6,3.22,3.08,101
Kevin Huerter,2016-2017,32.5,1036.0,136.5,293.0,69.0,175.0,47.5,63.5,26.5,162.0,98.0,26.0,22.0,63.0,68.0,389.5,0.46,0.39,0.74,31.9,12.05,4.95,3.05,792
Elijah Hughes,2016-2019,30.33,932.67,137.0,333.0,63.0,184.0,86.0,112.67,16.0,121.0,63.67,31.0,21.33,53.33,58.67,423.0,0.4,0.33,0.75,29.97,13.5,3.83,2.07,107
De'Andre Hunter,2017-2018,35.5,945.5,154.5,303.5,33.5,80.0,98.5,127.5,45.0,155.0,55.5,20.5,17.5,41.5,68.0,441.0,0.5,0.41,0.77,26.2,12.2,4.3,1.55,616
Chandler Hutchison,2014-2017,30.75,737.0,130.75,274.5,19.75,56.0,88.25,128.5,34.5,168.0,63.75,30.0,7.25,59.0,67.0,369.5,0.46,0.31,0.67,23.7,11.82,5.4,2.05,4
Andre Iguodala,2002-2003,31.0,788.0,102.5,241.5,16.0,58.5,76.0,103.0,0.0,204.5,106.5,47.5,14.5,0.0,0.0,297.0,0.42,0.26,0.73,25.65,9.65,6.65,3.5,113
Wes Iwundu,2013-2016,33.0,932.0,106.25,229.25,12.75,37.75,87.0,126.5,38.0,154.5,91.5,30.25,13.0,70.0,69.25,312.25,0.46,0.33,0.67,28.15,9.35,4.62,2.75,22
Justin Jackson,2014-2016,39.33,1143.33,205.0,447.0,56.0,165.33,76.0,106.67,60.33,160.33,104.67,25.33,15.0,54.33,59.67,542.0,0.46,0.32,0.71,29.03,13.73,4.1,2.63,15
Reggie Jackson,2008-2010,33.0,698.33,151.67,326.33,40.33,115.0,74.33,98.67,31.33,144.33,116.67,27.67,15.33,67.67,40.0,418.0,0.46,0.33,0.74,21.4,12.7,4.43,3.57,"1,180"
Justin James,2015-2018,32.75,921.0,173.0,391.25,39.5,117.25,129.75,177.5,26.0,176.5,85.75,30.25,16.0,82.0,72.5,515.25,0.44,0.35,0.7,28.0,15.55,5.35,2.62,0
DaQuan Jeffries,2015-2018,28.33,669.67,100.67,190.0,26.67,70.67,52.33,68.0,41.67,141.0,33.33,21.33,30.67,35.67,78.67,280.33,0.54,0.38,0.78,23.47,9.8,4.97,1.13,2
Ty Jerome,2016-2018,35.0,925.0,121.0,278.33,55.33,141.33,39.67,50.33,9.67,106.0,128.0,42.33,1.33,48.33,67.33,337.0,0.44,0.39,0.81,26.2,9.5,2.97,3.63,338
Isaiah Joe,2018-2019,30.0,981.5,140.0,359.0,103.5,274.0,71.5,86.5,17.5,100.5,51.5,44.0,6.0,43.5,56.0,455.0,0.39,0.38,0.82,33.1,15.4,3.45,1.7,176
Cameron Johnson,2014-2018,27.0,685.0,103.2,226.0,51.8,127.8,44.6,54.6,29.6,109.4,48.6,20.6,6.8,27.6,47.4,302.8,0.43,0.39,0.76,23.72,10.1,3.58,1.6,770
James Johnson,2007-2008,30.5,0.0,175.5,341.0,25.0,84.5,75.5,109.0,0.0,254.0,49.5,42.5,44.0,76.0,0.0,451.5,0.51,0.3,0.69,0.0,14.8,8.3,1.6,335
Tyler Johnson,2010-2013,32.0,884.5,122.75,269.25,29.75,80.0,62.25,87.0,45.75,154.75,75.75,35.0,9.0,44.0,84.25,337.5,0.45,0.32,0.68,27.42,10.42,4.72,2.35,17
Damian Jones,2013-2015,33.0,894.67,169.33,299.0,0.33,2.67,98.67,174.67,69.0,210.0,23.67,12.33,55.67,65.67,100.33,437.67,0.56,0.07,0.56,27.0,13.23,6.37,0.7,343
Mason Jones,2018-2019,32.5,1023.0,163.5,379.5,72.0,201.0,174.0,212.5,20.0,150.5,101.0,40.5,5.5,80.0,89.0,573.0,0.43,0.36,0.82,31.6,17.8,4.7,3.1,5
Tre Jones,2018-2019,32.5,1129.0,147.0,351.0,33.0,105.5,77.5,101.0,25.5,129.0,188.5,60.0,8.0,65.5,53.5,404.5,0.42,0.31,0.76,34.8,12.8,4.0,5.85,323
Luke Kennard,2015-2016,36.5,1137.5,189.0,410.0,71.5,186.5,124.0,143.0,39.0,158.5,73.0,32.5,9.5,43.5,76.0,573.5,0.45,0.38,0.87,31.1,15.65,4.35,2.0,738
Nathan Knight,2016-2019,31.25,830.25,191.25,341.25,13.0,46.0,139.75,190.0,67.5,241.0,67.0,16.75,55.25,70.25,94.5,535.25,0.56,0.26,0.72,26.52,17.1,7.7,2.15,121
John Konchar,2015-2018,33.25,1168.75,189.75,341.0,48.25,116.0,88.5,127.0,77.25,287.25,138.25,68.0,19.5,61.75,68.0,516.25,0.56,0.43,0.69,35.15,15.55,8.62,4.15,310
Luke Kornet,2013-2016,32.0,771.25,95.75,229.5,37.5,117.25,54.75,70.25,38.5,152.25,35.75,12.25,52.5,34.5,62.5,283.75,0.41,0.31,0.71,23.98,8.7,4.8,1.15,14
Kyle Kuzma,2014-2016,32.0,671.0,124.0,245.0,17.0,56.33,57.0,90.0,51.67,177.33,47.0,10.33,11.67,50.33,50.33,322.0,0.49,0.3,0.61,21.0,10.17,5.6,1.47,"1,130"
Anthony Lamb,2016-2019,29.5,810.75,171.25,360.0,36.0,107.0,104.75,133.75,48.25,191.25,48.75,25.0,40.0,62.0,69.25,483.25,0.48,0.35,0.79,27.12,16.25,6.35,1.6,0
Jeremy Lamb,2010-2011,37.5,1203.0,199.5,414.0,58.5,168.0,72.5,90.0,41.0,174.5,62.0,38.5,23.0,60.0,60.5,530.0,0.48,0.35,0.8,32.5,14.4,4.7,1.65,363
Jake Layman,2012-2015,35.25,984.5,120.5,270.75,49.5,136.75,68.5,90.25,39.75,168.5,39.0,30.75,28.25,51.0,68.0,359.0,0.44,0.36,0.75,28.18,10.32,4.82,1.08,65
Damion Lee,2011-2015,25.0,820.8,127.2,293.6,51.4,142.0,97.4,115.6,22.4,119.6,48.8,28.4,5.2,43.4,59.6,403.2,0.42,0.35,0.84,32.08,15.88,4.74,2.0,439
Saben Lee,2017-2019,32.0,983.67,146.67,311.67,29.0,88.33,123.67,172.33,18.0,105.0,118.33,40.33,6.33,86.0,65.67,446.0,0.47,0.33,0.72,30.77,13.97,3.27,3.7,175
Alex Len,2011-2012,30.0,735.0,112.5,209.0,0.5,4.5,66.0,99.5,72.5,208.5,25.0,6.0,62.5,46.5,77.5,291.5,0.54,0.06,0.64,23.8,8.95,6.6,0.8,233
Kawhi Leonard,2009-2010,35.0,1118.0,188.5,420.0,20.5,82.0,97.5,131.0,115.0,358.0,78.0,49.0,22.5,76.5,87.0,495.0,0.45,0.25,0.74,31.95,14.1,10.25,2.2,0
Caris LeVert,2012-2015,25.75,680.25,91.5,210.75,33.5,83.5,51.0,66.25,9.75,91.0,68.75,24.25,5.5,34.0,37.75,267.5,0.42,0.39,0.72,27.85,11.65,3.9,3.08,875
Kira Lewis Jr.,2018-2019,32.5,1121.0,181.5,406.0,55.0,152.0,97.5,123.0,19.5,117.5,130.0,42.0,14.0,92.0,71.0,515.5,0.45,0.36,0.79,34.6,16.0,3.7,4.05,141
Damian Lillard,2008-2011,26.0,613.0,146.0,327.5,61.5,157.5,130.0,150.0,8.5,111.0,90.5,32.25,4.75,61.5,35.75,483.5,0.44,0.38,0.86,24.32,18.4,4.18,3.45,695
Brook Lopez,2006-2007,26.5,742.5,162.0,337.5,1.5,10.5,99.0,129.5,0.0,188.5,28.5,13.5,50.5,29.0,0.0,424.5,0.48,0.1,0.74,28.0,15.95,7.1,1.1,65
Robin Lopez,2006-2007,33.5,813.0,118.0,231.0,0.5,1.0,64.0,104.5,0.0,188.0,25.5,11.5,78.0,31.5,0.0,300.5,0.51,0.5,0.6,24.25,8.85,5.6,0.75,223
Kyle Lowry,2004-2005,28.5,762.0,90.5,201.5,6.5,20.0,84.0,114.0,0.0,109.5,85.5,54.0,6.5,0.0,0.0,271.5,0.44,0.34,0.71,26.25,9.25,3.75,2.85,770
Terance Mann,2015-2018,35.0,905.0,126.25,228.75,13.5,41.25,64.5,96.25,66.5,177.5,67.25,28.0,8.5,47.75,71.0,330.5,0.56,0.31,0.64,25.72,9.4,5.03,1.92,802
Naji Marshall,2017-2019,33.0,1018.67,150.67,343.0,35.67,123.33,88.67,122.33,35.0,195.33,97.67,33.0,10.0,89.33,76.67,425.67,0.46,0.3,0.73,31.13,13.07,5.97,3.0,261
Caleb Martin,2014-2018,34.75,989.75,151.25,365.25,77.75,216.5,91.0,125.5,30.25,156.5,65.25,33.75,19.5,49.5,73.25,471.25,0.4,0.35,0.71,28.58,13.6,4.53,1.87,527
Cody Martin,2014-2018,30.5,881.5,112.5,224.75,13.0,40.0,56.5,82.0,42.75,139.75,108.5,38.75,24.0,50.25,69.5,294.5,0.49,0.27,0.65,26.85,8.88,4.3,3.28,498
Kelan Martin,2014-2017,34.0,914.0,178.25,407.75,56.0,161.0,99.25,126.25,35.0,177.25,40.25,19.75,14.0,59.25,70.75,511.75,0.43,0.33,0.77,26.82,15.0,5.25,1.18,171
Garrison Mathews,2015-2018,33.5,943.5,188.75,423.25,90.0,240.75,152.0,192.75,34.75,166.75,63.0,29.25,8.0,68.75,77.0,619.5,0.44,0.37,0.78,28.15,18.45,5.0,1.88,591
Dakota Mathias,2014-2017,35.25,901.0,96.25,221.75,62.5,149.25,30.0,37.25,5.25,108.75,102.0,26.0,4.5,38.25,62.5,285.0,0.42,0.41,0.8,25.42,8.0,3.08,2.85,6
Wesley Matthews,2005-2008,31.75,0.0,128.0,288.0,25.0,73.25,137.25,171.75,0.0,157.0,67.75,38.75,9.5,34.75,0.0,418.25,0.44,0.35,0.79,0.0,12.8,4.85,2.15,204
Skylar Mays,2016-2019,32.5,990.75,130.0,292.0,43.25,125.25,101.0,119.5,15.5,117.75,95.5,53.25,6.25,59.5,55.25,404.25,0.44,0.35,0.84,30.38,12.42,3.62,2.95,80
CJ McCollum,2009-2012,27.75,914.25,191.75,436.5,54.25,144.0,152.5,184.75,41.75,174.0,76.0,57.0,12.75,66.75,48.75,590.25,0.45,0.4,0.83,32.65,21.68,6.08,2.72,"1,232"
T.J. McConnell,2010-2014,34.75,1106.25,137.5,280.75,34.5,90.75,44.0,58.75,23.5,134.5,187.75,81.0,6.0,70.25,64.5,353.5,0.49,0.38,0.74,31.92,10.25,3.9,5.38,201
Jalen McDaniels,2017-2018,33.5,935.0,169.0,335.0,14.0,47.0,91.0,120.0,70.5,264.5,50.5,32.5,17.5,59.0,88.5,443.0,0.53,0.27,0.76,27.85,13.2,7.9,1.5,286
Doug McDermott,2010-2013,36.25,1142.25,285.25,518.75,68.5,149.5,148.5,178.75,70.25,272.0,48.5,8.5,3.5,80.25,66.25,787.5,0.55,0.46,0.82,31.58,21.92,7.52,1.38,578
JaVale McGee,2006-2007,33.0,616.0,117.0,216.0,8.0,22.5,45.0,87.5,0.0,157.0,11.5,16.0,61.0,40.0,0.0,287.0,0.56,0.5,0.5,18.65,8.7,4.75,0.35,632
Rodney McGruder,2009-2012,33.75,925.5,142.0,314.25,47.0,123.5,63.0,83.0,63.5,163.5,46.5,29.0,9.0,42.75,51.25,394.0,0.46,0.39,0.75,27.33,11.6,4.82,1.35,223
Alfonzo McKinnie,2010-2014,24.0,452.75,67.75,134.0,6.75,19.25,30.0,48.25,45.5,123.75,5.75,11.75,12.5,30.25,66.0,172.25,0.5,0.2,0.65,17.5,6.6,4.68,0.25,59
Jordan McLaughlin,2014-2017,32.0,1073.5,143.0,326.0,46.25,122.0,79.75,108.0,20.75,113.5,184.75,53.25,5.5,75.75,33.5,412.0,0.43,0.37,0.73,33.35,12.8,3.53,5.62,195
Sam Merrill,2016-2019,32.75,1090.0,178.75,380.25,79.75,189.75,112.0,125.75,9.5,118.75,119.25,32.25,6.25,52.0,78.25,549.25,0.47,0.43,0.88,33.1,16.58,3.6,3.63,25
Chimezie Metu,2015-2017,34.67,936.33,165.0,309.33,4.33,14.33,93.67,135.33,63.67,218.67,40.33,24.67,56.0,60.0,87.0,428.0,0.53,0.27,0.66,26.93,12.3,6.27,1.17,470
Khris Middleton,2009-2011,29.0,754.33,113.33,263.0,30.67,95.67,69.67,90.67,43.67,132.0,58.33,29.0,5.67,57.67,62.33,327.0,0.43,0.32,0.76,26.43,11.57,4.63,2.07,"1,220"
Patty Mills,2007-2008,29.0,0.0,162.0,390.0,64.0,193.5,87.0,108.0,0.0,64.5,106.0,57.0,4.5,83.0,0.0,475.0,0.42,0.33,0.81,0.0,16.6,2.25,3.7,880
Paul Millsap,2003-2005,30.67,1080.0,219.33,380.33,2.0,5.33,128.67,207.67,0.0,390.67,29.0,40.33,61.0,0.0,0.0,569.33,0.58,0.45,0.62,35.27,18.53,12.73,0.93,115
Shake Milton,2015-2017,29.0,1006.33,129.33,286.33,63.33,148.33,66.67,84.33,12.67,112.0,112.33,33.0,11.0,53.0,45.0,388.67,0.45,0.43,0.78,34.83,13.83,3.93,3.87,374
Donovan Mitchell,2015-2016,32.5,844.5,132.5,317.0,49.0,149.0,65.0,82.5,35.5,134.5,72.5,47.5,10.0,43.0,83.0,379.0,0.42,0.3,0.78,25.7,11.5,4.15,2.2,"1,607"
E'Twaun Moore,2007-2010,35.0,563.75,195.0,443.5,60.75,159.75,83.25,114.25,20.75,152.5,100.0,41.0,14.75,72.25,37.5,534.0,0.44,0.38,0.73,16.35,15.28,4.35,2.88,0
Ja Morant,2017-2018,32.5,1147.5,199.0,410.5,42.0,122.5,166.5,205.5,47.5,198.0,266.0,44.0,20.0,124.5,56.0,606.5,0.48,0.34,0.81,35.3,18.6,6.1,8.15,"1,543"
Juwan Morgan,2015-2018,32.0,738.0,129.25,230.0,14.25,48.0,70.75,105.5,65.0,189.25,37.75,26.5,34.5,42.5,75.5,343.5,0.55,0.33,0.7,22.75,10.52,5.82,1.17,5
Markieff Morris,2008-2010,36.33,519.33,113.67,205.67,12.67,31.33,67.67,103.67,55.33,220.67,42.0,20.0,34.33,57.33,66.67,307.67,0.53,0.38,0.65,14.0,8.33,6.0,1.17,119
Monte Morris,2013-2016,35.0,1183.5,159.0,334.0,38.0,99.75,71.0,91.0,27.0,129.0,192.0,56.25,10.25,41.25,53.0,427.0,0.47,0.38,0.78,33.83,12.22,3.68,5.5,891
Mychal Mulder,2015-2016,28.0,214.0,28.0,74.5,18.5,54.0,7.0,7.5,12.5,37.5,10.0,4.5,3.0,6.5,16.5,81.5,0.3,0.27,0.96,7.2,2.6,1.3,0.35,55
Mike Muscala,2009-2012,33.25,953.75,180.75,360.75,5.25,16.75,142.25,173.75,75.25,273.25,52.75,14.0,67.75,54.25,78.0,509.0,0.5,0.32,0.82,28.55,15.12,8.1,1.58,344
Svi Mykhailiuk,2014-2017,34.0,767.5,105.5,246.5,59.25,144.75,25.0,33.5,23.25,85.0,50.5,24.25,6.75,36.5,56.75,295.25,0.41,0.38,0.75,21.45,8.15,2.35,1.4,249
Abdel Nader,2011-2015,29.25,711.25,108.0,276.5,32.0,105.0,53.75,73.5,26.0,125.75,31.75,23.75,17.75,66.75,71.75,301.75,0.39,0.29,0.74,24.28,10.55,4.43,1.05,34
Larry Nance Jr.,2011-2014,30.75,907.75,127.5,244.5,9.0,29.25,82.5,107.0,46.25,201.75,43.0,35.25,33.75,48.25,71.0,346.5,0.51,0.31,0.78,29.88,11.58,6.68,1.42,268
Aaron Nesmith,2018-2019,23.0,714.0,109.5,248.0,59.5,145.0,59.0,71.5,22.5,122.5,29.0,21.5,15.0,37.5,68.5,337.5,0.45,0.43,0.82,32.35,17.0,5.2,1.15,172
Georges Niang,2012-2015,34.5,1027.5,212.25,424.25,47.0,125.5,85.5,112.0,40.5,178.5,105.25,23.0,16.75,79.5,105.5,557.0,0.5,0.38,0.76,29.78,16.15,5.18,3.03,652
Jaylen Nowell,2017-2018,35.0,1173.0,210.5,442.0,45.0,113.5,97.5,123.5,34.0,162.5,102.0,41.0,9.0,95.5,88.5,563.5,0.48,0.4,0.79,33.45,16.1,4.65,2.9,476
Kendrick Nunn,2013-2017,31.5,949.0,157.75,368.25,73.5,190.5,59.75,72.75,14.25,113.75,65.5,36.5,6.75,53.25,56.25,448.75,0.43,0.38,0.81,30.68,14.68,3.72,2.12,0
David Nwaba,2013-2015,29.33,763.67,124.33,262.67,1.33,8.0,99.0,152.33,54.67,155.33,60.0,32.0,16.33,47.0,58.0,349.0,0.47,0.11,0.65,26.2,11.87,5.27,2.07,231
Jordan Nwora,2017-2019,31.0,815.33,146.33,328.67,59.33,150.67,79.33,101.0,35.67,187.0,31.67,24.0,7.67,56.0,58.0,431.33,0.45,0.4,0.78,25.67,13.57,5.83,1.0,432
Royce O'Neale,2011-2014,33.5,1014.25,102.75,215.5,36.25,90.75,75.25,100.25,51.75,189.0,100.0,40.0,11.25,64.5,81.0,317.0,0.48,0.41,0.75,30.4,9.58,5.63,2.98,549
Semi Ojeleye,2013-2016,19.33,446.0,74.0,154.33,27.0,65.0,62.0,79.0,30.0,89.67,18.67,7.33,6.0,18.33,26.33,237.0,0.42,0.42,0.76,16.43,7.87,3.37,0.6,98
Chuma Okeke,2017-2018,36.0,919.5,130.0,270.0,44.5,114.5,51.0,72.5,87.5,228.5,55.5,46.0,35.5,46.5,68.5,355.5,0.48,0.39,0.7,25.35,9.75,6.3,1.5,541
Josh Okogie,2016-2017,30.5,1007.0,163.5,374.0,33.0,86.5,156.5,201.5,54.5,175.5,60.0,45.0,25.0,69.0,82.0,516.5,0.43,0.38,0.78,33.6,17.15,5.85,2.05,109
KZ Okpala,2017-2018,26.0,802.0,122.5,279.0,19.5,59.0,95.0,141.0,30.5,125.5,49.5,26.0,14.0,70.0,71.5,359.5,0.43,0.3,0.68,30.6,13.4,4.7,1.9,77
Victor Oladipo,2010-2012,34.67,852.67,135.33,251.33,16.0,47.33,85.67,119.67,69.0,179.0,58.33,53.67,18.67,67.67,82.67,372.33,0.54,0.32,0.7,24.37,10.6,5.1,1.67,38
Cameron Oliver,2015-2016,36.5,1116.5,201.5,415.0,43.0,116.5,89.5,132.0,80.0,324.5,47.0,26.0,95.0,81.0,108.5,535.5,0.49,0.36,0.68,30.65,14.7,8.9,1.3,23
Kelly Olynyk,2009-2012,33.67,578.33,112.67,189.67,8.33,25.0,67.33,95.0,50.67,153.67,35.67,17.33,15.33,46.67,65.67,301.0,0.57,0.32,0.66,17.4,9.13,4.6,1.07,321
Miye Oni,2016-2018,29.0,918.67,150.0,350.67,58.0,163.0,78.0,100.33,23.67,179.67,95.67,24.67,30.33,74.0,81.67,436.0,0.43,0.36,0.78,31.67,15.03,6.2,3.3,5
Daniel Oturu,2018-2019,33.0,942.0,195.0,349.5,10.0,27.0,100.0,149.0,102.0,297.5,26.5,16.5,61.0,70.5,89.0,500.0,0.56,0.43,0.66,28.85,15.45,9.15,0.8,9
Eric Paschall,2014-2018,34.25,1014.25,147.25,314.75,42.5,128.25,84.75,110.75,52.5,176.0,52.25,25.25,17.75,66.25,78.5,421.75,0.48,0.32,0.76,29.7,12.55,5.18,1.48,322
Chris Paul,2003-2004,31.5,1055.0,139.0,294.5,43.0,91.5,153.0,182.5,0.0,122.5,197.5,80.0,6.5,0.0,0.0,474.0,0.47,0.47,0.84,33.5,15.05,3.9,6.25,902
Cameron Payne,2013-2014,34.5,1119.0,217.5,503.5,78.0,217.0,126.5,162.0,15.5,126.0,197.0,62.5,18.5,98.5,84.0,639.5,0.43,0.36,0.78,32.45,18.5,3.65,5.7,587
Elfrid Payton,2011-2013,33.33,1051.67,167.0,344.0,10.0,37.33,131.33,215.0,49.33,169.33,162.0,65.67,17.0,112.0,75.33,475.33,0.48,0.19,0.61,31.37,14.1,5.07,4.8,138
Gary Payton II,2014-2015,31.5,1110.5,183.5,378.0,24.5,81.0,72.0,110.5,70.5,241.0,129.5,87.5,26.5,66.5,84.5,463.5,0.49,0.3,0.65,35.3,14.7,7.65,4.1,456
Reggie Perry,2018-2019,32.5,888.0,150.5,300.5,17.0,55.0,116.0,155.0,93.0,278.5,46.5,22.5,30.5,70.0,97.0,434.0,0.5,0.3,0.74,27.5,13.55,8.65,1.45,13
Theo Pinson,2014-2017,30.5,661.75,64.25,150.5,11.5,44.75,49.25,66.0,36.75,134.0,104.0,24.0,9.75,46.5,53.0,189.25,0.41,0.26,0.7,21.18,5.92,4.32,3.3,28
Mason Plumlee,2009-2012,35.25,913.0,131.25,228.75,0.5,2.5,83.0,142.25,83.25,272.0,53.0,28.75,49.75,70.5,86.75,346.0,0.56,0.06,0.55,25.78,9.78,7.67,1.48,436
Jakob Poeltl,2014-2015,35.0,942.5,178.0,270.5,0.0,0.5,109.5,181.0,97.0,278.5,46.5,16.5,59.5,64.5,82.5,465.5,0.66,0.0,0.57,26.85,13.15,7.95,1.3,852
Jordan Poole,2017-2018,37.5,850.0,118.0,272.0,57.5,155.5,59.0,71.0,5.5,81.5,51.0,30.0,7.0,41.0,57.0,352.5,0.43,0.37,0.83,22.8,9.45,2.2,1.4,"1,255"
Otto Porter Jr.,2011-2012,32.0,1038.5,146.5,294.0,27.5,77.5,90.5,120.5,60.5,228.5,67.5,47.0,27.5,42.5,62.5,411.0,0.5,0.32,0.74,32.55,12.95,7.15,2.1,492
Dwight Powell,2010-2013,34.0,892.25,128.75,277.5,8.25,28.5,100.5,139.25,56.25,213.25,60.0,31.25,29.5,70.75,97.5,366.25,0.46,0.26,0.72,26.17,10.7,6.28,1.72,621
Norman Powell,2011-2014,35.25,888.75,125.75,272.5,27.75,88.5,64.75,86.75,14.5,106.0,53.5,39.5,14.25,45.0,72.0,344.0,0.45,0.31,0.7,25.05,9.62,2.98,1.52,809
Taurean Prince,2012-2015,32.25,651.0,117.0,254.25,32.5,86.5,63.75,88.75,50.5,136.75,36.25,30.25,15.75,55.25,67.75,330.25,0.49,0.36,0.71,19.4,9.93,4.18,1.08,464
Payton Pritchard,2016-2019,36.0,1213.5,164.25,376.0,72.0,189.75,84.0,105.0,23.75,137.5,164.75,52.75,1.75,73.0,80.25,484.5,0.43,0.38,0.79,33.88,13.82,3.85,4.62,386
Immanuel Quickley,2018-2019,33.5,836.0,96.5,239.5,46.0,116.0,98.5,110.0,9.0,95.5,50.0,21.5,2.5,40.5,57.0,337.5,0.39,0.39,0.88,25.75,10.65,3.0,1.55,766
